2024-05-28 00:08:38,670 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:08:39,102 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:08:39,132 INFO DISTRO:|0|0|0|

2024-05-28 00:09:39,273 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:09:39,432 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:09:39,470 INFO DISTRO:|0|0|0|

2024-05-28 00:25:14,888 INFO PERFORMANCE:|serviceCount|ipCount|subscribeCount|maxPushCost|avgPushCost|totalPushCount|failPushCount

2024-05-28 00:25:15,725 INFO DISTRO:|V1SyncDone|V1SyncFail|V2SyncDone|V2SyncFail|V2VerifyFail|

2024-05-28 00:25:15,729 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:25:15,730 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:25:15,731 INFO DISTRO:|0|0|0|

2024-05-28 00:26:15,770 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:26:15,776 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:26:15,777 INFO DISTRO:|0|0|0|

2024-05-28 00:27:15,790 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:27:15,792 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:27:15,792 INFO DISTRO:|0|0|0|

2024-05-28 00:42:47,377 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:42:48,251 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:42:48,252 INFO DISTRO:|0|0|0|

2024-05-28 00:43:48,169 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:43:48,172 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:43:48,174 INFO DISTRO:|0|0|0|

2024-05-28 00:45:30,679 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:45:31,456 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:45:31,476 INFO DISTRO:|0|0|0|

2024-05-28 00:46:31,558 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:46:31,560 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:46:31,561 INFO DISTRO:|0|0|0|

2024-05-28 00:47:31,563 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:47:31,564 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:47:31,565 INFO DISTRO:|0|0|0|

2024-05-28 00:48:31,565 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:48:31,567 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:48:31,567 INFO DISTRO:|0|0|0|

2024-05-28 00:49:31,568 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:49:31,570 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:49:31,576 INFO DISTRO:|0|0|0|

2024-05-28 00:50:31,577 INFO PERFORMANCE:|serviceCount|ipCount|subscribeCount|maxPushCost|avgPushCost|totalPushCount|failPushCount

2024-05-28 00:50:31,578 INFO DISTRO:|V1SyncDone|V1SyncFail|V2SyncDone|V2SyncFail|V2VerifyFail|

2024-05-28 00:50:31,578 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:50:31,579 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:50:31,579 INFO DISTRO:|0|0|0|

2024-05-28 00:51:31,580 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:51:31,581 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:51:31,582 INFO DISTRO:|0|0|0|

2024-05-28 00:52:31,579 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:52:31,580 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:52:31,581 INFO DISTRO:|0|0|0|

2024-05-28 00:53:31,580 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:53:31,581 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:53:31,582 INFO DISTRO:|0|0|0|

2024-05-28 00:54:31,583 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:54:31,585 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:54:31,586 INFO DISTRO:|0|0|0|

2024-05-28 00:55:31,587 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:55:31,589 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:55:31,589 INFO DISTRO:|0|0|0|

2024-05-28 00:56:31,592 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 00:56:31,592 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 00:56:31,593 INFO DISTRO:|0|0|0|

2024-05-28 01:12:19,268 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 01:12:20,498 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 01:12:20,498 INFO DISTRO:|0|0|0|

2024-05-28 01:13:41,969 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 01:13:42,728 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 01:13:42,736 INFO DISTRO:|0|0|0|

2024-05-28 01:14:42,690 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 01:14:43,142 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 01:14:43,158 INFO DISTRO:|0|0|0|

2024-05-28 01:30:17,325 INFO PERFORMANCE:|serviceCount|ipCount|subscribeCount|maxPushCost|avgPushCost|totalPushCount|failPushCount

2024-05-28 01:30:17,373 INFO DISTRO:|V1SyncDone|V1SyncFail|V2SyncDone|V2SyncFail|V2VerifyFail|

2024-05-28 01:30:17,377 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 01:30:17,406 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 01:30:17,407 INFO DISTRO:|0|0|0|

2024-05-28 01:31:17,414 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 01:31:17,707 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 01:31:17,858 INFO DISTRO:|0|0|0|

2024-05-28 01:32:17,938 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 01:32:18,257 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


2024-05-28 01:32:18,275 INFO DISTRO:|0|0|0|

2024-05-28 01:48:11,589 INFO PERFORMANCE:|0|0|0|-1|-1|0|0

2024-05-28 01:48:11,631 INFO Task worker status: 
naming_0%4, pending tasks: 0
naming_1%4, pending tasks: 0
naming_2%4, pending tasks: 0
naming_3%4, pending tasks: 0


